Uncertainty Metrics,Model,Vulnerability Detection - Before,Vulnerability Detection - TS,Vulnerability Detection - PS,Vulnerability Detection - Iso. R,Defect Prediction - Before,Defect Prediction - TS,Defect Prediction - PS,Defect Prediction - Iso. R
MCD-BALD,Qwen2.5-Coder-7B,"72.49/72.49","60.86/52.74","76.89/29.67","74.43/74.43","27.51/27.51","19.51/6.94","27.26/18.75","15.93/15.93"
MCD-BALD,CodeLlama-7B,"37.76/37.77","37.89/37.90","1.15/45.15","66.67/66.67","27.82/27.82","24.91/12.55","22.45/16.14","11.42/35.54"
MCD-BALD,DeepSeek-Coder-7B,"81.05/81.05","50.66/51.81","39.44/30.93","30.08/30.09","30.01/29.83","24.45/5.38","28.49/10.38","26.72/77.52"
DE-SWS,StarCoder-3B,"19.66/19.66","19.45/19.45","15.75/21.75","31.48/26.99","13.18/13.18","32.50/8.87","19.38/3.01","1.77/1.77"
DE-SWS,Qwen2.5-Coder-7B,"15.83/15.83","17.59/18.47","4.76/26.00","50.00/44.92","16.69/16.69","51.67/5.60","29.75/6.76","16.01/59.00"
DE-SWS,CodeLlama-7B,"11.13/11.13","5.96/6.48","13.33/21.00","28.09/29.74","18.26/18.26","16.77/18.76","3.42/16.58","1.93/46.67"
DE-SWS,DeepSeek-Coder-7B,"17.26/17.26","14.89/14.99","18.57/50.22","30.50/57.14","16.96/16.96","17.33/18.78","9.76/11.31","17.38/75.31"
DE-PV,StarCoder-3B,"100.00/100.00","100.00/71.98","97.03/7.43","15.82/30.09","19.04/19.04","37.27/37.81","24.43/13.36","17.79/19.57"
DE-PV,Qwen2.5-Coder-7B,"54.44/54.44","61.87/70.98","99.45/10.79","20.00/8.44","100.00/100.00","99.99/64.47","68.19/53.72","81.73/100.00"
DE-PV,CodeLlama-7B,"39.45/39.45","33.50/33.46","3.54/11.44","33.12/23.38","100.00/100.00","100.00/88.51","99.97/40.41","50.00/50.00"
DE-PV,DeepSeek-Coder-7B,"100.00/100.00","99.99/71.81","85.60/1.45","49.62/100.00","94.10/94.10","94.05/92.43","100.00/21.58","30.00/40.75"
DE-BALD,StarCoder-3B,"36.87/100.00","37.54/72.16","96.75/61.20","60.51/43.72","49.48/49.48","34.39/39.78","86.69/2.83","39.78/43.66"
DE-BALD,Qwen2.5-Coder-7B,"42.77/61.84","47.25/71.68","99.39/7.08","15.65/15.65","50.45/50.58","43.33/15.01","99.98/18.13","16.67/100.00"
DE-BALD,CodeLlama-7B,"32.22/32.24","33.68/33.72","11.30/25.41","45.45/12.57","52.64/52.64","40.47/18.06","96.45/18.72","42.93/100.00"
DE-BALD,DeepSeek-Coder-7B,"100.00/100.00","99.99/71.89","80.12/59.21","71.43/100.00","47.87/47.87","38.44/15.25","74.65/3.64","13.14/46.47"
